Loading mega dataset...
228851 rows, 25 feature sets x 5 models = 125 configurations planned
[88/125] round3_plus_graphdiff / logreg: precision=0.348 recall=0.678 AP=0.492 AUC=0.835 (0.7s, ETA 1.7m)
[89/125] round3_plus_graphdiff / lgbm_default: precision=0.339 recall=0.693 AP=0.493 AUC=0.833 (1.0s, ETA 1.6m)
[90/125] round3_plus_graphdiff / ensemble_3way: precision=0.343 recall=0.702 AP=0.509 AUC=0.840 (5.8s, ETA 1.6m)
[91/125] everything / xgb_default: precision=0.342 recall=0.694 AP=0.504 AUC=0.836 (1.4s, ETA 1.5m)
[92/125] everything / rf_default: precision=0.340 recall=0.710 AP=0.511 AUC=0.841 (8.2s, ETA 1.5m)
[93/125] everything / logreg: precision=0.365 recall=0.649 AP=0.491 AUC=0.832 (1.2s, ETA 1.5m)
[94/125] everything / lgbm_default: precision=0.352 recall=0.675 AP=0.498 AUC=0.833 (1.7s, ETA 1.4m)
[95/125] everything / ensemble_3way: precision=0.352 recall=0.690 AP=0.510 AUC=0.840 (10.0s, ETA 1.4m)
[96/125] everything_minus_gdelt / xgb_default: precision=0.338 recall=0.698 AP=0.497 AUC=0.834 (1.2s, ETA 1.3m)
[97/125] everything_minus_gdelt / rf_default: precision=0.339 recall=0.710 AP=0.511 AUC=0.841 (7.0s, ETA 1.3m)
[98/125] everything_minus_gdelt / logreg: precision=0.356 recall=0.662 AP=0.490 AUC=0.832 (1.0s, ETA 1.3m)
[99/125] everything_minus_gdelt / lgbm_default: precision=0.344 recall=0.684 AP=0.490 AUC=0.831 (1.4s, ETA 1.2m)
[100/125] everything_minus_gdelt / ensemble_3way: precision=0.347 recall=0.695 AP=0.508 AUC=0.839 (8.5s, ETA 1.2m)
[101/125] everything_minus_chirps / xgb_default: precision=0.342 recall=0.692 AP=0.504 AUC=0.836 (1.3s, ETA 1.1m)
[102/125] everything_minus_chirps / rf_default: precision=0.339 recall=0.710 AP=0.511 AUC=0.841 (7.1s, ETA 1.1m)
[103/125] everything_minus_chirps / logreg: precision=0.332 recall=0.688 AP=0.489 AUC=0.831 (1.1s, ETA 1.1m)
[104/125] everything_minus_chirps / lgbm_default: precision=0.352 recall=0.679 AP=0.501 AUC=0.834 (1.5s, ETA 1.0m)
[105/125] everything_minus_chirps / ensemble_3way: precision=0.344 recall=0.702 AP=0.512 AUC=0.840 (8.7s, ETA 1.0m)
[106/125] everything_minus_unhcr / xgb_default: precision=0.343 recall=0.696 AP=0.505 AUC=0.837 (1.4s, ETA 0.9m)
[107/125] everything_minus_unhcr / rf_default: precision=0.340 recall=0.709 AP=0.510 AUC=0.841 (8.3s, ETA 0.9m)
[108/125] everything_minus_unhcr / logreg: precision=0.360 recall=0.658 AP=0.492 AUC=0.833 (1.2s, ETA 0.8m)
[109/125] everything_minus_unhcr / lgbm_default: precision=0.350 recall=0.683 AP=0.501 AUC=0.834 (1.7s, ETA 0.8m)
[110/125] everything_minus_unhcr / ensemble_3way: precision=0.350 recall=0.693 AP=0.511 AUC=0.841 (10.4s, ETA 0.7m)
[111/125] everything_minus_hawkes_cusum / xgb_default: precision=0.342 recall=0.693 AP=0.503 AUC=0.836 (1.2s, ETA 0.7m)
[112/125] everything_minus_hawkes_cusum / rf_default: precision=0.343 recall=0.706 AP=0.511 AUC=0.841 (7.0s, ETA 0.7m)
[113/125] everything_minus_hawkes_cusum / logreg: precision=0.363 recall=0.650 AP=0.492 AUC=0.831 (0.9s, ETA 0.6m)
[114/125] everything_minus_hawkes_cusum / lgbm_default: precision=0.352 recall=0.678 AP=0.499 AUC=0.833 (1.5s, ETA 0.5m)
[115/125] everything_minus_hawkes_cusum / ensemble_3way: precision=0.352 recall=0.688 AP=0.510 AUC=0.840 (8.4s, ETA 0.5m)
[116/125] everything_minus_graphdiff / xgb_default: precision=0.343 recall=0.691 AP=0.501 AUC=0.836 (1.3s, ETA 0.5m)
[117/125] everything_minus_graphdiff / rf_default: precision=0.340 recall=0.706 AP=0.510 AUC=0.840 (7.2s, ETA 0.4m)
[118/125] everything_minus_graphdiff / logreg: precision=0.364 recall=0.651 AP=0.491 AUC=0.832 (0.9s, ETA 0.4m)
[119/125] everything_minus_graphdiff / lgbm_default: precision=0.349 recall=0.678 AP=0.496 AUC=0.832 (1.6s, ETA 0.3m)
[120/125] everything_minus_graphdiff / ensemble_3way: precision=0.352 recall=0.688 AP=0.509 AUC=0.840 (8.7s, ETA 0.3m)
[121/125] external_only_no_ucdp_counts / xgb_default: precision=0.184 recall=0.478 AP=0.162 AUC=0.618 (1.0s, ETA 0.2m)
[122/125] external_only_no_ucdp_counts / rf_default: precision=0.209 recall=0.499 AP=0.182 AUC=0.646 (6.0s, ETA 0.2m)
[123/125] external_only_no_ucdp_counts / logreg: precision=0.178 recall=0.525 AP=0.172 AUC=0.622 (0.6s, ETA 0.1m)
[124/125] external_only_no_ucdp_counts / lgbm_default: precision=0.185 recall=0.469 AP=0.172 AUC=0.626 (1.1s, ETA 0.1m)
[125/125] external_only_no_ucdp_counts / ensemble_3way: precision=0.192 recall=0.506 AP=0.184 AUC=0.638 (6.9s, ETA 0.0m)

Done. 125 configurations logged to ../results/grand_search_geolocated_log.jsonl. Total time 6.4 min.
