week,n_events,total_best_deaths,n_state_based,n_nonstate,n_onesided,n_distinct_dyads,country,deaths_per_event,state_based_share,baseline_mean_total_best_deaths,baseline_std_total_best_deaths,baseline_mean_n_events,baseline_std_n_events,escalation,label_1,label_2,label_4,label_8,n_events_lag1,n_events_lag2,n_events_delta,total_best_deaths_lag1,total_best_deaths_lag2,total_best_deaths_delta,deaths_per_event_lag1,deaths_per_event_lag2,deaths_per_event_delta,state_based_share_lag1,state_based_share_lag2,state_based_share_delta,n_distinct_dyads_lag1,n_distinct_dyads_lag2,n_distinct_dyads_delta
2019-12-09,15.0,81.0,3.0,0.0,12.0,8.0,CG,5.4,0.2,72.1527950310559,343.2391480419349,2.741614906832298,4.265614885925517,1,1,1,1,1,20.0,11.0,-5.0,149.0,91.0,-68.0,7.45,8.272727272727273,-2.05,0.4,0.36363636363636365,-0.2,8.0,6.0,0.0
2019-12-16,10.0,45.0,3.0,1.0,6.0,7.0,CG,4.5,0.3,72.1582867783985,343.1326062745131,2.749224084419615,4.275212866016731,1,1,1,1,1,15.0,20.0,-5.0,81.0,149.0,-36.0,5.4,7.45,-0.9000000000000004,0.2,0.4,0.09999999999999998,8.0,8.0,-1.0
2019-12-23,11.0,46.0,2.0,2.0,7.0,5.0,CG,4.181818181818182,0.18181818181818182,72.14143920595534,343.02675990162044,2.753722084367246,4.277699572893889,1,1,1,1,1,10.0,15.0,1.0,45.0,81.0,1.0,4.5,5.4,-0.31818181818181834,0.3,0.2,-0.11818181818181817,7.0,8.0,-2.0
2019-12-30,13.0,114.0,5.0,4.0,4.0,10.0,CG,8.76923076923077,0.38461538461538464,72.12523248605083,342.92096325046083,2.758834469931804,4.281298895053495,1,1,1,1,1,11.0,10.0,2.0,46.0,45.0,68.0,4.181818181818182,4.5,4.587412587412588,0.18181818181818182,0.3,0.2027972027972028,5.0,7.0,5.0
2020-01-06,12.0,176.0,7.0,4.0,1.0,7.0,CG,14.666666666666666,0.5833333333333334,72.15117719950433,342.8162322174504,2.765179677819083,4.287556289118312,1,1,1,1,0,13.0,11.0,-1.0,114.0,46.0,62.0,8.76923076923077,4.181818181818182,5.897435897435896,0.38461538461538464,0.18181818181818182,0.19871794871794873,10.0,5.0,-3.0
2020-01-13,11.0,39.0,3.0,2.0,6.0,8.0,CG,3.5454545454545454,0.2727272727272727,72.21547987616098,342.71975738529045,2.7708978328173375,4.292383401476145,1,1,1,1,1,12.0,13.0,-1.0,176.0,114.0,-137.0,14.666666666666666,8.76923076923077,-11.121212121212121,0.5833333333333334,0.38461538461538464,-0.31060606060606066,7.0,10.0,1.0
2020-01-20,12.0,50.0,2.0,2.0,8.0,10.0,CG,4.166666666666667,0.16666666666666666,72.19492574257426,342.6146321000238,2.775990099009901,4.295934316382865,1,1,1,1,1,11.0,12.0,1.0,39.0,176.0,11.0,3.5454545454545454,14.666666666666666,0.6212121212121215,0.2727272727272727,0.5833333333333334,-0.10606060606060605,8.0,7.0,2.0
2020-01-27,23.0,173.0,5.0,0.0,18.0,8.0,CG,7.521739130434782,0.21739130434782608,72.18119975262833,342.50905342200065,2.78169449598021,4.300726550198215,1,1,1,1,1,12.0,11.0,11.0,50.0,39.0,123.0,4.166666666666667,3.5454545454545454,3.3550724637681153,0.16666666666666666,0.2727272727272727,0.050724637681159424,10.0,8.0,-2.0
2020-02-03,13.0,103.0,0.0,3.0,10.0,4.0,CG,7.923076923076923,0.0,72.24351050679851,342.41230165848685,2.7941903584672434,4.328678251462132,1,1,1,0,1,23.0,12.0,-10.0,173.0,50.0,-70.0,7.521739130434782,4.166666666666667,0.4013377926421411,0.21739130434782608,0.16666666666666666,-0.21739130434782608,8.0,10.0,-4.0
2020-02-10,13.0,44.0,2.0,3.0,8.0,8.0,CG,3.3846153846153846,0.15384615384615385,72.26250772081532,342.307325316775,2.8004941321803583,4.3347675706608335,1,1,1,1,1,13.0,23.0,0.0,103.0,173.0,-59.0,7.923076923076923,7.521739130434782,-4.538461538461538,0.0,0.21739130434782608,0.15384615384615385,4.0,8.0,4.0
2020-02-17,20.0,60.0,7.0,5.0,8.0,11.0,CG,3.0,0.35,72.24506172839506,342.20231375536713,2.80679012345679,4.3408316982338295,1,1,0,1,1,13.0,13.0,7.0,44.0,103.0,16.0,3.3846153846153846,7.923076923076923,-0.3846153846153846,0.15384615384615385,0.0,0.19615384615384612,8.0,4.0,3.0
2020-02-24,23.0,99.0,2.0,1.0,20.0,9.0,CG,4.304347826086956,0.08695652173913043,72.23750771128933,342.0968146479928,2.8173966687230103,4.360452845858084,1,0,1,1,1,20.0,13.0,3.0,60.0,44.0,39.0,3.0,3.3846153846153846,1.304347826086956,0.35,0.15384615384615385,-0.26304347826086955,11.0,8.0,-2.0
2020-03-02,7.0,67.0,2.0,1.0,4.0,5.0,CG,9.571428571428571,0.2857142857142857,72.25400739827374,341.9919236584326,2.8298397040690504,4.387818632232477,0,1,1,1,1,23.0,20.0,-16.0,99.0,60.0,-32.0,4.304347826086956,3.0,5.267080745341615,0.08695652173913043,0.35,0.19875776397515527,9.0,11.0,-4.0
2020-03-09,16.0,64.0,6.0,3.0,7.0,7.0,CG,4.0,0.375,72.25077017868145,341.88650936770057,2.832409118915588,4.387687014456955,1,1,1,1,1,7.0,23.0,9.0,67.0,99.0,-3.0,9.571428571428571,4.304347826086956,-5.571428571428571,0.2857142857142857,0.08695652173913043,0.0892857142857143,5.0,9.0,2.0
2020-03-16,9.0,119.0,3.0,1.0,5.0,6.0,CG,13.222222222222221,0.3333333333333333,72.24568965517241,341.7812289816134,2.8405172413793105,4.398488367284766,1,1,1,1,1,16.0,7.0,-7.0,64.0,67.0,55.0,4.0,9.571428571428571,9.222222222222221,0.375,0.2857142857142857,-0.041666666666666685,7.0,5.0,-1.0
2020-03-23,10.0,50.0,5.0,1.0,4.0,6.0,CG,5.0,0.5,72.27446153846154,341.67795310680674,2.844307692307692,4.399787965541107,1,1,1,1,1,9.0,16.0,1.0,119.0,64.0,-69.0,13.222222222222221,4.0,-8.222222222222221,0.3333333333333333,0.375,0.16666666666666669,6.0,7.0,0.0
2020-03-30,10.0,37.0,1.0,4.0,5.0,7.0,CG,3.7,0.1,72.26076260762608,341.57325191319717,2.848708487084871,4.402012287252476,1,1,1,1,1,10.0,9.0,0.0,50.0,119.0,-13.0,5.0,13.222222222222221,-1.2999999999999998,0.5,0.3333333333333333,-0.4,6.0,6.0,1.0
2020-04-06,16.0,70.0,3.0,2.0,11.0,11.0,CG,4.375,0.1875,72.23909035033805,341.4693198944588,2.853103872157345,4.404228359761049,1,1,1,1,1,10.0,10.0,6.0,37.0,50.0,33.0,3.7,5.0,0.6749999999999998,0.1,0.5,0.0875,7.0,6.0,4.0
2020-04-13,12.0,49.0,6.0,0.0,6.0,8.0,CG,4.083333333333333,0.5,72.237714987715,341.36436994747584,2.861179361179361,4.414914832503395,1,1,1,1,1,16.0,10.0,-4.0,70.0,37.0,-21.0,4.375,3.7,-0.29166666666666696,0.1875,0.1,0.3125,11.0,7.0,-3.0
2020-04-20,26.0,188.0,12.0,1.0,13.0,10.0,CG,7.230769230769231,0.46153846153846156,72.22344996930633,341.25999788632976,2.8667894413750767,4.419363058822728,1,1,1,1,1,12.0,16.0,14.0,49.0,70.0,139.0,4.083333333333333,4.375,3.147435897435898,0.5,0.1875,-0.038461538461538436,8.0,11.0,2.0
2020-04-27,8.0,91.0,2.0,0.0,6.0,6.0,CG,11.375,0.25,72.29447852760737,341.16728869690843,2.8809815950920243,4.455007351625513,1,1,1,1,1,26.0,12.0,-18.0,188.0,49.0,-97.0,7.230769230769231,4.083333333333333,4.144230769230769,0.46153846153846156,0.5,-0.21153846153846156,10.0,8.0,-4.0
2020-05-04,16.0,37.0,0.0,2.0,14.0,6.0,CG,2.3125,0.0,72.30594727161251,341.06293459894795,2.88412017167382,4.455443951525125,1,1,1,1,1,8.0,26.0,8.0,91.0,188.0,-54.0,11.375,7.230769230769231,-9.0625,0.25,0.46153846153846156,-0.25,6.0,10.0,0.0
2020-05-11,25.0,119.0,5.0,6.0,14.0,8.0,CG,4.76,0.2,72.2843137254902,340.95948224632133,2.892156862745098,4.465894986512767,1,1,1,1,1,16.0,8.0,9.0,37.0,91.0,82.0,2.3125,11.375,2.4475,0.0,0.25,0.2,6.0,6.0,2.0
2020-05-18,19.0,78.0,0.0,6.0,13.0,7.0,CG,4.105263157894737,0.0,72.3129210042866,340.8569659852082,2.9056950398040415,4.497921431451524,1,1,1,1,1,25.0,16.0,-6.0,119.0,37.0,-41.0,4.76,2.3125,-0.6547368421052626,0.2,0.0,-0.2,8.0,6.0,-1.0
2020-05-25,16.0,115.0,7.0,0.0,9.0,6.0,CG,7.1875,0.4375,72.31640146878824,340.7526137786224,2.915544675642595,4.514136817773323,1,1,1,1,1,19.0,25.0,-3.0,78.0,119.0,37.0,4.105263157894737,4.76,3.082236842105263,0.0,0.2,0.4375,7.0,8.0,-1.0
2020-06-01,19.0,80.0,9.0,6.0,4.0,9.0,CG,4.2105263157894735,0.47368421052631576,72.34250764525994,340.6499639169164,2.923547400611621,4.524342119996437,1,1,1,1,1,16.0,19.0,3.0,115.0,78.0,-35.0,7.1875,4.105263157894737,-2.9769736842105265,0.4375,0.0,0.03618421052631576,6.0,7.0,3.0
2020-06-08,20.0,53.0,12.0,0.0,8.0,9.0,CG,2.65,0.6,72.34718826405867,340.5458263064154,2.9333740831295843,4.540388765034562,1,1,1,1,1,19.0,16.0,1.0,80.0,115.0,-27.0,4.2105263157894735,7.1875,-1.5605263157894735,0.47368421052631576,0.4375,0.12631578947368421,9.0,6.0,0.0
2020-06-15,23.0,80.0,5.0,4.0,14.0,9.0,CG,3.4782608695652173,0.21739130434782608,72.33536957849725,340.44206742510255,2.9437996334758707,4.558558782125956,1,1,1,1,1,20.0,19.0,3.0,53.0,80.0,27.0,2.65,4.2105263157894735,0.8282608695652174,0.6,0.47368421052631576,-0.3826086956521739,9.0,9.0,0.0
2020-06-22,26.0,104.0,4.0,12.0,10.0,10.0,CG,4.0,0.15384615384615385,72.34004884004884,340.3381207030191,2.956043956043956,4.584030816283819,1,1,1,1,1,23.0,20.0,3.0,80.0,53.0,24.0,3.4782608695652173,2.65,0.5217391304347827,0.21739130434782608,0.6,-0.06354515050167223,9.0,9.0,1.0
2020-06-29,19.0,106.0,4.0,6.0,9.0,12.0,CG,5.578947368421052,0.21052631578947367,72.35936546674802,340.2351152646974,2.970103721781574,4.617846087981683,1,1,1,1,1,26.0,23.0,-7.0,104.0,80.0,2.0,4.0,3.4782608695652173,1.5789473684210522,0.15384615384615385,0.21739130434782608,0.05668016194331982,10.0,9.0,2.0
2020-07-06,19.0,96.0,1.0,3.0,15.0,9.0,CG,5.052631578947368,0.05263157894736842,72.37987804878048,340.1323203166132,2.979878048780488,4.633376011237042,1,1,1,1,1,19.0,26.0,0.0,106.0,104.0,-10.0,5.578947368421052,4.0,-0.5263157894736841,0.21052631578947367,0.15384615384615385,-0.15789473684210525,12.0,10.0,-3.0
2020-07-13,23.0,101.0,4.0,2.0,17.0,10.0,CG,4.391304347826087,0.17391304347826086,72.39427178549664,340.02910555672156,2.9896404631322366,4.648814685531197,1,1,1,1,1,19.0,19.0,4.0,96.0,106.0,5.0,5.052631578947368,5.578947368421052,-0.6613272311212812,0.05263157894736842,0.21052631578947367,0.12128146453089245,9.0,12.0,1.0
