priogrid_gid,lat,lon,country,n_events_total
142279,8.676447789473684,39.34469210526316,Ethiopia,19
142280,8.7399525,39.78353230769231,Ethiopia,26
142980,9.232999395348838,29.823710930232558,South Sudan,43
142990,9.2543322,34.59768613333333,Ethiopia,15
142991,9.213752621621621,35.12712891891892,Ethiopia,37
142992,9.18158225,35.6932374375,Ethiopia,16
142993,9.14589155,36.292620649999996,Ethiopia,20
142994,9.090700083333333,36.59748811666667,Ethiopia,60
142996,9.152208267857144,37.83522310714286,Ethiopia,56
142997,9.240924379310345,38.171149586206894,Ethiopia,29
142998,9.086554636363637,38.74428745454546,Ethiopia,22
143002,9.097252463414634,40.83376729268293,Ethiopia,41
143005,9.28463380952381,42.20507654761905,Ethiopia,42
143490,9.747539736842105,-75.13928531578948,Colombia,19
143697,9.63151680487805,28.439653682926828,Sudan,41
143704,9.562256702702703,31.68662691891892,South Sudan,37
143711,9.717273136363637,35.22131427272728,Ethiopia,22
143714,9.73010204,36.804975840000004,Ethiopia,25
143715,9.760064,37.165649375,Ethiopia,24
143717,9.696389,38.27313411764706,Ethiopia,34
143718,9.719342060606062,38.63338648484849,Ethiopia,33
143720,9.875383897435897,39.774885769230764,Ethiopia,39
144210,10.240345600000001,-75.35921132,Colombia,25
144222,10.072397111111112,-69.30023622222222,Venezuela,27
144225,10.2269425,-67.596175,Venezuela,16
144227,10.429072338983051,-66.8490685720339,Venezuela,236
144231,10.170833,-64.66250149999999,Venezuela,20
144436,10.357052133333333,37.6937692,Ethiopia,15
144438,10.132165833333334,38.675876708333334,Ethiopia,24
144440,10.282011055555556,39.9003581111111,Ethiopia,18
144931,10.921351680555555,-74.78604740277778,Colombia,72
144937,10.64552857142857,-71.66875285714285,Venezuela,21
145155,10.700853,37.23606176,Ethiopia,25
145179,10.943454142857144,49.153508333333335,Somalia,21
145847,11.276914833333333,23.223322555555555,Sudan,18
145851,11.238843472222221,25.14540988888889,Sudan,36
145856,11.262034523809524,27.785714285714285,Sudan,21
145860,11.045298032258065,29.725054322580643,Sudan,31
145862,11.188015133333332,30.560573533333333,Sudan,15
145875,11.29247955,37.288140350000006,Ethiopia,20
145880,11.240108842105263,39.649800105263154,Ethiopia,19
145899,11.284150380952381,49.18022777777777,Somalia,63
146570,11.930844904761905,24.936664619047615,Sudan,21
146581,11.844906727272727,30.235912499999998,Sudan,22
146589,11.631430352941177,34.23340970588235,Sudan,17
146595,11.59364,37.39077,Ethiopia,27
146597,11.8045105625,38.141736625,Ethiopia,16
146598,11.7172792,38.829351,Ethiopia,20
146600,11.814117076923075,39.622878307692304,Ethiopia,52
147290,12.068668458333335,24.885205652777778,Sudan,72
147300,12.058982588235295,29.65596470588235,Sudan,17
147302,12.204901823529411,30.79094911764706,Sudan,17
147320,12.255038206896552,39.63273055172414,Ethiopia,58
148007,12.889626400000001,23.4687396,Sudan,30
148009,12.78582028169014,24.21601818309859,Sudan,71
148010,12.864957959183673,24.644025367346938,Sudan,49
148035,12.607143130434782,37.40192173913044,Ethiopia,23
148039,12.77897504347826,39.24264726086956,Ethiopia,23
148040,12.759586791666665,39.606505125,Ethiopia,24
148725,13.406497951612902,22.414134435483874,Sudan,62
