country,week,gkg_n_docs,gkg_mean_tone
SO,2025-08-10,45,-3.0177208952909047
TI,2025-08-10,19,-1.1028901927566743
KG,2025-08-10,25,0.14050185540549592
PK,2025-08-17,1464,-4.178887447462199
SU,2025-08-17,88,-4.906636147270782
AF,2025-08-17,324,-3.2839828085279477
VE,2025-08-17,287,-1.185871656935009
CO,2025-08-17,102,-0.8578231206142694
KE,2025-08-17,271,-0.31670632893458955
BL,2025-08-17,219,-2.2581684676474993
OD,2025-08-17,45,-3.731335212688262
UZ,2025-08-17,71,-1.6337714101818617
PE,2025-08-17,140,0.9380789500066894
EC,2025-08-17,140,-2.311977935144629
HA,2025-08-17,126,-1.4445755875207553
ET,2025-08-17,91,0.012688016642178387
SO,2025-08-17,37,-1.1325630075582562
BM,2025-08-17,28,-2.632104051215528
TI,2025-08-17,15,-0.0894595016249857
ER,2025-08-17,8,-0.5738846740688349
KG,2025-08-17,21,0.7406741256975161
NU,2025-08-17,26,-1.0755002438343895
ET,2025-08-24,259,-2.1593966321502567
TI,2025-08-24,13,-2.101931419409769
KG,2025-08-24,53,-0.9782500670878496
UZ,2025-08-24,79,0.9050441453731746
PK,2025-08-24,1180,-2.0041951499420363
SU,2025-08-24,301,-3.671729584010373
ER,2025-08-24,236,-4.030541130135187
AF,2025-08-24,348,-2.7905720361649484
KE,2025-08-24,239,-0.5592646512533906
VE,2025-08-24,351,0.2670396928539454
CO,2025-08-24,169,-0.7295118759273624
PE,2025-08-24,146,0.8159038145021723
BL,2025-08-24,35,-1.7183916527471559
EC,2025-08-24,40,-0.5873500720839827
HA,2025-08-24,70,-1.733721602563299
NU,2025-08-24,37,-1.6697261218932204
OD,2025-08-24,65,-1.839708029565297
SO,2025-08-24,74,-2.09425734823087
BM,2025-08-24,22,-1.3800276534133253
PK,2025-08-31,1389,-1.8278017503035653
TI,2025-08-31,380,1.1804744516610846
KG,2025-08-31,422,1.5786805367674486
UZ,2025-08-31,414,1.3082573276818952
BM,2025-08-31,89,1.1245764856789855
SU,2025-08-31,111,-3.2264865048455413
OD,2025-08-31,33,-2.028532918777122
VE,2025-08-31,253,-2.445323034604484
CO,2025-08-31,135,-1.5201313606322588
KE,2025-08-31,248,-0.29232281925521536
SO,2025-08-31,49,-1.9656377075558726
ET,2025-08-31,138,0.27740858939129215
AF,2025-08-31,329,-2.4923551396180796
BL,2025-08-31,35,-1.1606749749717309
NU,2025-08-31,27,-3.3437658793073233
PE,2025-08-31,104,1.102276358068745
EC,2025-08-31,37,-0.8016305145792111
HA,2025-08-31,47,-1.6418851994187555
ER,2025-08-31,12,-2.6809843896221337
PK,2025-09-07,1030,-2.5221862187858153
VE,2025-09-07,357,-3.670707573579237
HA,2025-09-07,133,-1.3038906039681413
OD,2025-09-07,111,-2.2340684037053395
CO,2025-09-07,219,-2.1352305738621857
KE,2025-09-07,297,-0.12388266311891222
AF,2025-09-07,422,-1.9568635604269804
BL,2025-09-07,66,0.8150533721759322
NU,2025-09-07,71,-1.8489222788521815
EC,2025-09-07,48,-0.8776474802712307
SU,2025-09-07,100,-2.723291974998623
ET,2025-09-07,129,-0.2484326684769552
TI,2025-09-07,50,0.669619533769481
PE,2025-09-07,191,-1.259888387388981
SO,2025-09-07,67,-3.808005416161648
BM,2025-09-07,25,-0.37593698497003586
